test_name,opt0_s,opt2_s,opt2deps1_s,speedup_opt0_to_opt2
comp_d_rsvd_blobs_connected_2000,270.939,111.804,117.127,2.4
test_level_3_rsvd_valid_on_large_path,264.413,111.581,117.269,2.4
test_path_5000_warm_restart,,58.442,60.892,
comp_d_rsvd_blobs_500,136.601,39.905,50.614,3.4
test_path_3000_warm_restart,,38.406,40.102,
comp_d_rsvd_circles_300,130.284,36.346,37.619,3.6
test_path_2000_warm_restart,451.315,31.602,31.905,14.3
comp_d_rsvd_moons_200,96.519,30.064,15.567,3.2
proptest_subspace_stable,137.892,24.94,27.393,5.5
test_ring_3000_warm_restart,,20.746,20.56,
test_epsilon_bridge_sweep,,19.787,17.846,
comp_d_rsvd_blobs_connected_200,94.841,17.909,18.687,5.3
proptest_eigenvalues_sorted,119.11,16.822,14.268,7.1
proptest_residual_leq_1e5,115.799,16.507,12.602,7.0
proptest_trivial_null_space,80.14,15.477,14.901,5.2
proptest_output_variance,115.056,15.174,15.685,7.6
proptest_orthogonality,119.62,14.388,15.827,8.3
proptest_eigenvalues_nonneg,122.635,13.754,13.737,8.9
proptest_finite_output,119.203,13.229,13.702,9.0
test_ring_2000_warm_restart,173.923,12.728,13.125,13.7
generate_accuracy_report,241.179,12.495,15.147,19.3
proptest_eigenvalues_leq_2,118.1,12.41,16.92,9.5
comp_d_rsvd_near_dupes_100,38.055,8.406,10.846,4.5
comp_d_dense_evd_blobs_connected_2000,108.99,6.253,5.833,17.4
sinv_residual_quality_blobs_connected_2000,18.373,5.47,6.519,3.4
sinv_eigenvalue_accuracy_blobs_connected_2000,18.725,4.082,4.879,4.6
test_e2e_performance_blobs_5000,107.631,3.515,3.357,30.6
test_level_2_regularized_lobpcg_produces_valid_result,37.52,0.795,1.482,47.2
test_level_1_lobpcg_for_large_well_conditioned_n,16.993,0.62,0.681,27.4
solvers::tests::solve_eigenproblem_large_n_routes_through_lobpcg,19.715,0.584,0.455,33.8
test_e2e_exact_knn_circles_300,2.724,0.497,0.381,5.5
test_e2e_residual_quality_circles_300,2.772,0.456,0.608,6.1
solvers::tests::solve_eigenproblem_level_numbering,16.832,0.447,0.877,37.7
comp_d_dense_evd_circles_300,2.323,0.42,0.382,5.5
test_e2e_subspace_circles_300,2.534,0.303,0.522,8.4
rq3_threshold_override_subspace_agreement,4.483,0.286,0.472,15.7
test_e2e_residual_quality_moons_200,1.252,0.261,0.351,4.8
test_e2e_residual_quality_blobs_connected_200,1.234,0.232,0.167,5.3
test_e2e_exact_knn_blobs_connected_200,1.266,0.223,0.478,5.7
solvers::lobpcg::tests::lobpcg_solve_near_degenerate_residuals_within_tol,6.392,0.214,0.3,29.9
test_e2e_residual_quality_blobs_connected_2000,6.681,0.207,0.288,32.3
lobpcg_blobs_connected_2000_level2,5.955,0.192,0.204,31.0
lobpcg_blobs_2000_residual_below_1e5_with_chebyshev,5.387,0.191,0.23,28.2
comp_d_dense_evd_moons_200,0.781,0.186,0.17,4.2
test_e2e_exact_knn_moons_200,1.136,0.175,0.252,6.5
lobpcg_circles_300_eigenvalues,2.616,0.147,0.091,17.8
comp_d_dense_evd_blobs_connected_200,0.857,0.138,0.059,6.2
lobpcg_moons_200_eigenvalues,1.443,0.117,0.093,12.3
lobpcg_blobs_connected_2000_eigenvalues,6.062,0.098,0.195,61.9
comp_e_selection_matches_python_disconnected_200,0.011,0.077,0.009,0.1
test_e2e_residual_quality_near_dupes_100,0.293,0.073,0.163,4.0
comp_b_laplacian_matches_python_blobs_5000,0.204,0.071,0.092,2.9
test_e2e_subspace_near_dupes_100,0.271,0.064,0.097,4.2
lobpcg_circles_300_level2,2.853,0.061,0.178,46.8
sinv_residual_quality_circles_300,0.472,0.059,0.058,8.0
sinv_eigenvalue_accuracy_moons_200,0.533,0.055,0.038,9.7
sinv_residual_quality_moons_200,0.266,0.054,0.031,4.9
sinv_eigenvalue_accuracy_near_dupes_100,0.207,0.053,0.025,3.9
lobpcg_blobs_connected_200_eigenvalues,0.669,0.053,0.074,12.6
comp_e_selection_matches_python_near_dupes_100,0.04,0.052,0.032,0.8
sinv_residual_quality_blobs_connected_200,0.189,0.051,0.041,3.7
lobpcg_moons_200_level2,1.348,0.048,0.119,28.1
spectral_init_ten_component_graph,0.059,0.045,0.066,1.3
lobpcg_blobs_connected_200_level2,0.497,0.044,0.024,11.3
test_e2e_disconnected_200_component_separation,0.399,0.044,0.081,9.1
spectral_init_single_point,0.01,0.044,0.011,0.2
lobpcg_near_dupes_100_level2,0.34,0.043,0.033,7.9
spectral_init_fully_connected_uniform,0.045,0.038,0.025,1.2
test_e2e_exact_knn_near_dupes_100,0.466,0.035,0.076,13.3
sinv_eigenvalue_accuracy_circles_300,0.806,0.033,0.054,24.4
spectral_init_synthetic_disconnected_produces_valid_embedding,0.011,0.032,0.016,0.3
sinv_eigenvalue_accuracy_disconnected_200,0.055,0.031,0.023,1.8
sinv_eigenvalue_accuracy_blobs_500,0.056,0.029,0.02,1.9
sinv_eigenvalue_accuracy_blobs_connected_200,0.177,0.029,0.098,6.1
test_ring_2000_warm_restart_converges,0.01,0.028,0.008,0.4
comp_e_selection_matches_python_blobs_connected_200,0.022,0.028,0.042,0.8
sinv_residual_quality_disconnected_200,0.012,0.028,0.007,0.4
test_weighted_exponential_valid_embedding,0.15,0.028,0.039,5.4
test_e2e_exact_knn_blobs_50,0.076,0.027,0.061,2.8
sinv_residual_quality_near_dupes_100,0.22,0.026,0.046,8.5
lobpcg_near_dupes_100_eigenvalues,0.333,0.025,0.084,13.3
spectral_init_two_points_connected,0.009,0.024,0.021,0.4
comp_d_dense_evd_near_dupes_100,0.146,0.023,0.054,6.3
test_epsilon_bridge_valid_embedding,0.025,0.023,0.017,1.1
sinv_eigenvalue_accuracy_blobs_50,0.085,0.018,0.025,4.7
comp_a_degrees_rust_native_blobs_5000,0.033,0.017,0.012,1.9
sinv_residual_quality_blobs_500,0.009,0.017,0.024,0.5
test_star_valid_embedding,0.022,0.017,0.016,1.3
test_barbell_separates_communities,0.028,0.016,0.021,1.8
comp_b_laplacian_matches_python_blobs_connected_2000,0.096,0.016,0.035,6.0
test_complete_bipartite_coordinate_stability,0.019,0.016,0.014,1.2
test_path_valid_embedding,0.169,0.016,0.021,10.6
test_epsilon_bridge_separates_communities,0.018,0.015,0.015,1.2
spectral_init_synthetic_disconnected_preserves_component_structure,0.005,0.015,0.004,0.3
test_ring_valid_embedding,0.164,0.014,0.033,11.7
comp_a_degrees_rust_native_circles_300,0.013,0.014,0.029,0.9
comp_a_degrees_matches_python_blobs_connected_2000,0.035,0.014,0.017,2.5
test_complete_bipartite_valid_embedding,0.017,0.013,0.021,1.3
test_complete_k20_valid_embedding,0.016,0.013,0.024,1.2
comp_a_degrees_matches_python_blobs_5000,0.04,0.012,0.015,3.3
solvers::dense::tests::dense_evd_trivial_2x2,0.008,0.012,0.015,0.7
config_tests::python_compat_and_rust_native_same_subspace,0.009,0.012,0.018,0.7
test_lollipop_valid_embedding,0.026,0.012,0.02,2.2
test_star_coordinate_stability,0.024,0.012,0.013,2.0
test_barbell_valid_embedding,0.025,0.012,0.012,2.1
comp_e_selection_matches_python_blobs_connected_2000,0.025,0.011,0.057,2.3
solvers::sinv::tests::sinv_solve_eigenvectors_orthonormal,0.058,0.011,0.01,5.3
solvers::lobpcg::tests::lobpcg_solve_rr_achieves_tight_residuals,0.013,0.011,0.024,1.2
comp_b_laplacian_matches_python_blobs_50,0.014,0.011,0.015,1.3
solvers::lobpcg::tests::lobpcg_solve_level2_eigenvalues_corrected,0.009,0.01,0.014,0.9
comp_a_degrees_rust_native_blobs_connected_200,0.007,0.01,0.008,0.7
comp_b_laplacian_matches_python_blobs_500,0.028,0.01,0.01,2.8
solvers::lobpcg::tests::lobpcg_solve_returns_k_plus_one_eigenpairs,0.083,0.01,0.015,8.3
test_level_0_dense_evd_for_small_n,0.008,0.01,0.02,0.8
solvers::tests::solve_eigenproblem_returns_k_plus_one_pairs,0.012,0.01,0.012,1.2
solvers::lobpcg::tests::rayleigh_ritz_refine_exact_eigenvectors_diagonal,0.013,0.01,0.014,1.3
sinv_residual_quality_blobs_50,0.02,0.01,0.008,2.0
comp_e_selection_matches_python_circles_300,0.009,0.01,0.017,0.9
solvers::lobpcg::tests::rayleigh_ritz_refine_rotated_basis_recovers_eigenvalues,0.008,0.009,0.024,0.9
comp_a_degrees_rust_native_disconnected_200,0.007,0.009,0.017,0.8
sinv_residual_quality_blobs_5000,0.01,0.009,0.011,1.1
multi_component::tests::test_embed_disconnected_intracomp_lt_intercomp,0.01,0.009,0.01,1.1
solvers::sinv::tests::sinv_solve_diagonal_eigenvalues_accurate,0.011,0.009,0.011,1.2
operator::tests::test_spmv_diagonal_matrix,0.005,0.009,0.013,0.6
multi_component::tests::test_extract_subgraph_two_components,0.005,0.009,0.01,0.6
solvers::rsvd::tests::test_rsvd_solve_residuals_ring_6,0.011,0.009,0.014,1.2
solvers::lobpcg::tests::lobpcg_solve_eigenvectors_orthonormal,0.011,0.009,0.009,1.2
solvers::lobpcg::tests::lobpcg_injects_trivial_eigenvector,0.045,0.009,0.021,5.0
tests::spectral_init_connected_graph_succeeds_and_has_correct_shape,0.009,0.008,0.012,1.1
comp_e_selection_matches_python_moons_200,0.013,0.008,0.006,1.6
config_tests::spectral_init_with_default_config_compiles_and_runs,0.008,0.008,0.019,1.0
solvers::tests::level0_result_passes_dense_evd_quality_gate,0.009,0.008,0.012,1.1
solvers::dense::tests::dense_evd_truncation_k_less_than_n,0.011,0.008,0.032,1.4
comp_b_laplacian_matches_python_near_dupes_100,0.009,0.008,0.018,1.1
solvers::sinv::tests::sinv_solve_returns_k_plus_one_pairs,0.057,0.008,0.016,7.1
sinv_eigenvalue_accuracy_blobs_5000,0.031,0.007,0.016,4.4
solvers::dense::tests::dense_evd_identity_3x3,0.012,0.007,0.014,1.7
solvers::lobpcg::tests::lobpcg_solve_restart_count_zero_on_easy_convergence,0.008,0.007,0.024,1.1
solvers::lobpcg::tests::lobpcg_solve_diagonal_level1,0.009,0.007,0.044,1.3
solvers::rsvd::tests::test_two_i_minus_laplacian_path_3,0.006,0.007,0.009,0.9
multi_component::tests::test_orthogonal_meta_embedding_4_comp_2_dim,0.005,0.007,0.008,0.7
tests::spectral_init_too_few_nodes_returns_error,0.005,0.007,0.01,0.7
selection::tests::sorts_before_skipping_trivial,0.004,0.006,0.008,0.7
solvers::rsvd::tests::test_rsvd_solve_shapes_complete_5,0.014,0.006,0.009,2.3
components::tests::test_three_isolated_nodes,0.005,0.006,0.015,0.8
operator::tests::test_spmv_matches_dense_reference,0.004,0.006,0.008,0.7
comp_a_degrees_rust_native_blobs_connected_2000,0.018,0.006,0.016,3.0
comp_a_degrees_matches_python_blobs_50,0.016,0.006,0.008,2.7
solvers::sinv::tests::sprs_csc_to_faer_shifted_diagonal,0.005,0.006,0.009,0.8
solvers::lobpcg::tests::rayleigh_ritz_refine_perturbed_eigenvectors,0.007,0.006,0.009,1.2
comp_b_laplacian_matches_python_circles_300,0.015,0.006,0.02,2.5
solvers::tests::solve_eigenproblem_eigenvalues_nonneg_and_sorted,0.013,0.006,0.014,2.2
