fixture,n,p,k,residual,wall_time_s,passes
near_dupes_100,100,5,8,1.185519e-1,0.015,false
blobs_connected_200,200,5,8,1.728607e-1,0.006,false
moons_200,200,5,8,1.308792e-1,0.006,false
circles_300,300,5,8,1.563127e-1,0.048,false
blobs_500,500,5,8,1.711095e-1,0.086,false
blobs_connected_2000,2000,5,8,2.598366e-1,0.163,false
near_dupes_100,100,10,13,1.234335e-1,0.016,false
blobs_connected_200,200,10,13,1.640222e-1,0.041,false
moons_200,200,10,13,1.312887e-1,0.040,false
circles_300,300,10,13,1.295234e-1,0.050,false
blobs_500,500,10,13,1.338245e-1,0.055,false
blobs_connected_2000,2000,10,13,2.908528e-1,0.037,false
near_dupes_100,100,15,18,8.659964e-2,0.019,false
blobs_connected_200,200,15,18,1.702609e-1,0.059,false
moons_200,200,15,18,1.113629e-1,0.051,false
circles_300,300,15,18,1.014207e-1,0.072,false
blobs_500,500,15,18,1.586700e-1,0.073,false
blobs_connected_2000,2000,15,18,2.875297e-1,0.071,false
near_dupes_100,100,20,23,8.068792e-2,0.024,false
blobs_connected_200,200,20,23,1.189153e-1,0.082,false
moons_200,200,20,23,1.179509e-1,0.075,false
circles_300,300,20,23,1.113751e-1,0.107,false
blobs_500,500,20,23,1.276219e-1,0.120,false
blobs_connected_2000,2000,20,23,2.889910e-1,0.093,false
near_dupes_100,100,25,28,5.470008e-2,0.104,false
blobs_connected_200,200,25,28,1.239432e-1,0.103,false
moons_200,200,25,28,8.938698e-2,0.095,false
circles_300,300,25,28,9.873114e-2,0.142,false
blobs_500,500,25,28,1.308595e-1,0.128,false
blobs_connected_2000,2000,25,28,2.553926e-1,0.137,false
near_dupes_100,100,30,33,5.309395e-2,0.102,false
blobs_connected_200,200,30,33,1.183004e-1,0.106,false
moons_200,200,30,33,8.199924e-2,0.105,false
circles_300,300,30,33,8.721089e-2,0.152,false
blobs_500,500,30,33,1.142533e-1,0.147,false
blobs_connected_2000,2000,30,33,2.750086e-1,0.212,false
near_dupes_100,100,50,53,2.146417e-2,0.231,false
blobs_connected_200,200,50,53,4.869414e-2,0.201,false
moons_200,200,50,53,5.457500e-2,0.193,false
circles_300,300,50,53,6.170096e-2,0.266,false
blobs_500,500,50,53,9.673212e-2,0.225,false
blobs_connected_2000,2000,50,53,2.428177e-1,0.240,false
near_dupes_100,100,100,100,1.348054e-14,0.477,true
blobs_connected_200,200,100,103,2.436849e-2,0.458,false
moons_200,200,100,103,1.936657e-2,0.447,false
circles_300,300,100,103,3.883566e-2,0.485,false
blobs_500,500,100,103,7.257434e-2,0.498,false
blobs_connected_2000,2000,100,103,2.049233e-1,0.548,false
near_dupes_100,100,200,100,1.348054e-14,0.357,true
blobs_connected_200,200,200,200,1.135141e-14,0.866,true
moons_200,200,200,200,7.071520e-15,1.141,true
circles_300,300,200,203,1.112360e-2,1.071,false
blobs_500,500,200,203,3.195834e-2,1.015,false
blobs_connected_2000,2000,200,203,1.376266e-1,0.823,false
