fixture,n,p,k,residual,wall_time_s,passes
near_dupes_100,100,5,8,2.361080e-2,0.031,false
near_dupes_100,100,10,13,8.655565e-3,0.026,true
near_dupes_100,100,15,18,1.324808e-3,0.053,true
near_dupes_100,100,20,23,4.040794e-4,0.048,true
near_dupes_100,100,25,28,1.159936e-4,0.184,true
near_dupes_100,100,30,33,1.365351e-4,0.232,true
near_dupes_100,100,50,53,2.767384e-5,0.525,true
near_dupes_100,100,100,103,7.501345e-16,0.977,true
blobs_connected_200,200,5,8,4.281319e-2,0.021,false
blobs_connected_200,200,10,13,2.940622e-2,0.095,false
blobs_connected_200,200,15,18,1.379844e-2,0.148,false
blobs_connected_200,200,20,23,6.194432e-3,0.188,true
blobs_connected_200,200,25,28,1.982721e-3,0.277,true
blobs_connected_200,200,30,33,9.006228e-4,0.355,true
blobs_connected_200,200,50,53,1.824258e-4,0.532,true
blobs_connected_200,200,100,103,4.392435e-5,1.537,true
moons_200,200,5,8,5.209575e-2,0.018,false
moons_200,200,10,13,3.659797e-2,0.108,false
moons_200,200,15,18,2.705520e-2,0.155,false
moons_200,200,20,23,8.184763e-3,0.227,true
moons_200,200,25,28,7.724676e-3,0.257,true
moons_200,200,30,33,1.616293e-3,0.335,true
moons_200,200,50,53,2.446733e-4,0.600,true
moons_200,200,100,103,1.934247e-5,1.392,true
circles_300,300,5,8,3.809006e-2,0.104,false
circles_300,300,10,13,4.827069e-2,0.136,false
circles_300,300,15,18,3.527818e-2,0.225,false
circles_300,300,20,23,2.332351e-2,0.258,false
circles_300,300,25,28,2.282226e-2,0.378,false
circles_300,300,30,33,1.449877e-2,0.477,false
circles_300,300,50,53,8.639851e-4,0.918,true
circles_300,300,100,103,5.999508e-5,1.386,true
blobs_500,500,5,8,5.340231e-2,0.103,false
blobs_500,500,10,13,5.481738e-2,0.152,false
blobs_500,500,15,18,5.171406e-2,0.233,false
blobs_500,500,20,23,4.401007e-2,0.272,false
blobs_500,500,25,28,3.655792e-2,0.337,false
blobs_500,500,30,33,2.788528e-2,0.484,false
blobs_500,500,50,53,1.373252e-2,0.660,false
blobs_500,500,100,103,9.295829e-4,1.643,true
blobs_connected_2000,2000,5,8,1.003345e-1,0.099,false
blobs_connected_2000,2000,10,13,7.183758e-2,0.158,false
blobs_connected_2000,2000,15,18,6.228102e-2,0.291,false
blobs_connected_2000,2000,20,23,5.258397e-2,0.253,false
blobs_connected_2000,2000,25,28,4.387138e-2,0.235,false
blobs_connected_2000,2000,30,33,4.531838e-2,0.551,false
blobs_connected_2000,2000,50,53,2.639576e-2,0.810,false
blobs_connected_2000,2000,100,103,1.256013e-2,1.574,false
