fixture,method,nbiter,p,residual,ortho_error,wall_time_us,spectral_gap,passes
blobs_connected_2000,2il,2,20,2.889910e-1,2.292325e-15,125091,2.585935e-2,false
blobs_connected_2000,2il,2,30,2.750086e-1,3.079497e-15,425354,2.751269e-2,false
blobs_connected_2000,2il,2,50,2.428177e-1,1.986761e-15,553107,5.067507e-2,false
blobs_connected_2000,2il,2,100,2.049233e-1,2.620691e-15,1124038,3.191591e-2,false
blobs_connected_2000,2il,3,20,1.955121e-1,2.531948e-15,176580,8.688611e-3,false
blobs_connected_2000,2il,3,30,1.598274e-1,2.834456e-15,651354,3.343121e-3,false
blobs_connected_2000,2il,3,50,1.369783e-1,1.895527e-15,996212,1.917971e-2,false
blobs_connected_2000,2il,3,100,1.072559e-1,3.450972e-15,1542024,1.852671e-2,false
blobs_connected_2000,2il,4,20,1.138015e-1,5.088920e-16,411564,4.375073e-3,false
blobs_connected_2000,2il,4,30,1.149399e-1,3.062938e-15,746886,1.189424e-2,false
blobs_connected_2000,2il,4,50,7.829481e-2,3.428053e-15,1437030,1.256360e-2,false
blobs_connected_2000,2il,4,100,5.221820e-2,1.670772e-15,2477146,1.378184e-2,false
blobs_connected_2000,2il,5,20,7.687351e-2,2.916752e-15,419934,8.670244e-3,false
blobs_connected_2000,2il,5,30,7.354806e-2,1.137537e-15,770640,1.310967e-2,false
blobs_connected_2000,2il,5,50,4.517821e-2,2.754008e-15,1110203,1.211336e-2,false
blobs_connected_2000,2il,5,100,2.549626e-2,1.872988e-15,3225102,1.259925e-2,false
blobs_connected_2000,2il,6,20,5.258397e-2,1.407822e-15,640284,1.050829e-2,false
blobs_connected_2000,2il,6,30,4.531838e-2,1.397375e-15,681175,1.285120e-2,false
blobs_connected_2000,2il,6,50,2.639576e-2,1.692493e-15,1550353,1.213954e-2,false
blobs_connected_2000,2il,6,100,1.256013e-2,3.101620e-15,3217346,1.231684e-2,false
blobs_connected_2000,2il,8,20,2.264569e-2,4.003041e-16,691648,1.180479e-2,false
blobs_connected_2000,2il,8,30,1.866773e-2,1.954503e-15,1229095,1.240780e-2,false
blobs_connected_2000,2il,8,50,9.486735e-3,1.241422e-15,2657857,1.220469e-2,true
blobs_connected_2000,2il,8,100,3.115728e-3,2.784425e-15,3707770,1.223337e-2,true
blobs_connected_2000,2il,10,20,9.980564e-3,1.160119e-15,1031628,1.212412e-2,true
blobs_connected_2000,2il,10,30,8.252190e-3,1.576633e-15,1388256,1.227155e-2,true
blobs_connected_2000,2il,10,50,3.570609e-3,8.932672e-16,1826895,1.222360e-2,true
blobs_connected_2000,2il,10,100,8.618579e-4,1.607122e-15,4637065,1.222836e-2,true
blobs_connected_2000,direct_l,2,20,2.889910e-1,2.456609e-15,209939,2.585935e-2,false
blobs_connected_2000,direct_l,2,30,2.750086e-1,3.718004e-15,211427,2.751269e-2,false
blobs_connected_2000,direct_l,2,50,2.428177e-1,1.789562e-15,466449,5.067507e-2,false
blobs_connected_2000,direct_l,2,100,2.049233e-1,2.342692e-15,865204,3.191591e-2,false
blobs_connected_2000,direct_l,3,20,1.955121e-1,4.451079e-15,304151,8.688611e-3,false
blobs_connected_2000,direct_l,3,30,1.598274e-1,1.176604e-15,407594,3.343121e-3,false
blobs_connected_2000,direct_l,3,50,1.369783e-1,8.217400e-16,596560,1.917971e-2,false
blobs_connected_2000,direct_l,3,100,1.072559e-1,4.023840e-15,1918580,1.852671e-2,false
blobs_connected_2000,direct_l,4,20,1.138015e-1,1.014910e-15,215369,4.375073e-3,false
blobs_connected_2000,direct_l,4,30,1.149399e-1,1.431911e-15,435230,1.189424e-2,false
blobs_connected_2000,direct_l,4,50,7.829481e-2,2.593170e-15,939524,1.256360e-2,false
blobs_connected_2000,direct_l,4,100,5.221820e-2,2.398612e-15,1537370,1.378184e-2,false
blobs_connected_2000,direct_l,5,20,7.687351e-2,1.637859e-15,498111,8.670244e-3,false
blobs_connected_2000,direct_l,5,30,7.354806e-2,3.441975e-15,1256053,1.310967e-2,false
blobs_connected_2000,direct_l,5,50,4.517821e-2,1.456573e-15,1043939,1.211336e-2,false
blobs_connected_2000,direct_l,5,100,2.549626e-2,1.334903e-15,2084754,1.259925e-2,false
blobs_connected_2000,direct_l,6,20,5.258397e-2,1.422165e-15,555070,1.050829e-2,false
blobs_connected_2000,direct_l,6,30,4.531838e-2,1.738557e-15,832244,1.285120e-2,false
blobs_connected_2000,direct_l,6,50,2.639576e-2,3.520587e-15,1751762,1.213954e-2,false
blobs_connected_2000,direct_l,6,100,1.256013e-2,2.199449e-15,2684227,1.231684e-2,false
blobs_connected_2000,direct_l,8,20,2.264569e-2,1.341666e-15,570727,1.180479e-2,false
blobs_connected_2000,direct_l,8,30,1.866773e-2,2.504975e-15,1605199,1.240780e-2,false
blobs_connected_2000,direct_l,8,50,9.486735e-3,5.175146e-15,1909955,1.220469e-2,true
blobs_connected_2000,direct_l,8,100,3.115728e-3,2.846529e-15,3830745,1.223337e-2,true
blobs_connected_2000,direct_l,10,20,9.980564e-3,3.671667e-15,477615,1.212412e-2,true
blobs_connected_2000,direct_l,10,30,8.252190e-3,1.716325e-15,1464155,1.227155e-2,true
blobs_connected_2000,direct_l,10,50,3.570609e-3,3.729567e-15,2233840,1.222360e-2,true
